Alert ID,Ticker,Description,Time
255841235,"BINANCE:DOTUSDTPERP, 15m",ticker:DOTUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:27.79;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255844163,"BINANCE:UNIUSDTPERP, 15m",ticker:UNIUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:28.593;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255845295,"BINANCE:BTTUSDTPERP, 15m",ticker:BTTUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.004388;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255846040,"BINANCE:IOTXUSDTPERP, 15m",ticker:IOTXUSDTPERP;buy:0;sell:0;buy_strong:0;sell_strong:1;buy_exit:null;sell_exit:null;close:0.07996;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255847514,"BINANCE:SUSHIUSDTPERP, 15m",ticker:SUSHIUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:13.842;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255841723,"BINANCE:WAVESUSDTPERP, 15m",ticker:WAVESUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:24.148;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255848265,"BINANCE:LINAUSDTPERP, 15m",ticker:LINAUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.06125;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255842949,"BINANCE:ICPUSDTPERP, 15m","ticker:ICPUSDTPERP;buy:0;sell:1;buy_strong:ticker:ICPUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:65.55;time:2021-08-21T11:00:00ZStrong Sell"")}}",2021-08-21T11:15:00.000Z
255842845,"BINANCE:QTUMUSDTPERP, 15m",ticker:QTUMUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:13.607;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255855075,"BINANCE:COMPUSDTPERP, 15m",ticker:COMPUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:465.15;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255847432,"BINANCE:HBARUSDTPERP, 15m",ticker:HBARUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.24093;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255845053,"BINANCE:SOLUSDTPERP, 15m",ticker:SOLUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:75.521;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255845397,"BINANCE:BAKEUSDTPERP, 15m",ticker:BAKEUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:2.5897;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255845611,"BINANCE:MTLUSDTPERP, 15m",ticker:MTLUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:2.873;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255840475,"BINANCE:EOSUSDTPERP, 15m",ticker:EOSUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:5.352;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255849557,"BINANCE:CRVUSDTPERP, 15m",ticker:CRVUSDTPERP;buy:0;sell:0;buy_strong:0;sell_strong:1;buy_exit:null;sell_exit:null;close:2.177;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255844016,"BINANCE:THETAUSDTPERP, 15m",ticker:THETAUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:7.335;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255850757,"BINANCE:ALPHAUSDTPERP, 15m",ticker:ALPHAUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.9742;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255854200,"BINANCE:IOTAUSDTPERP, 15m",ticker:IOTAUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:1.0752;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255854345,"BINANCE:FTMUSDTPERP, 15m",ticker:FTMUSDTPERP;buy:0;sell:1;buy_strong:0;sell_strong:0;buy_exit:null;sell_exit:null;close:0.49045;time:2021-08-21T11:00:00Z,2021-08-21T11:15:00.000Z
255842949,"BINANCE:ICPUSDTPERP, 15m","ticker:ICPUSDTPERP;buy:0;sell:0;buy_strong:ticker:ICPUSDTPERP;buy:0;sell:0;buy_strong:1;sell_strong:0;buy_exit:null;sell_exit:null;close:69.06;time:2021-08-21T10:30:00ZStrong Sell"")}}",2021-08-21T10:45:00.000Z
