Alert ID,Ticker,Description,Time
260668295,"BINANCE:OGNUSDTPERP, 5m",ticker:OGNUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:1.1269;timenow:2021-08-22T08:40:00Z,2021-08-22T08:40:00.000Z
260669205,"BINANCE:CVCUSDTPERP, 5m",ticker:CVCUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.33547;timenow:2021-08-22T08:30:00Z,2021-08-22T08:30:00.000Z
260668777,"BINANCE:AKROUSDTPERP, 5m",ticker:AKROUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.03411;timenow:2021-08-22T08:20:03Z,2021-08-22T08:20:02.000Z
260667798,"BINANCE:SXPUSDTPERP, 5m",ticker:SXPUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:3.6544;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260667984,"BINANCE:OMGUSDTPERP, 5m",ticker:OMGUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:6.2967;timenow:2021-08-22T08:20:01Z,2021-08-22T08:20:01.000Z
260667321,"BINANCE:AAVEUSDTPERP, 5m",ticker:AAVEUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:403.13;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260667437,"BINANCE:DENTUSDTPERP, 5m",ticker:DENTUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.00679;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260666993,"BINANCE:RUNEUSDTPERP, 5m",ticker:RUNEUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:10.814;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260666875,"BINANCE:LINKUSDTPERP, 5m",ticker:LINKUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:28.13;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260668491,"BINANCE:BTTUSDTPERP, 5m",ticker:BTTUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.004372;timenow:2021-08-22T08:20:01Z,2021-08-22T08:20:01.000Z
260668932,"BINANCE:MKRUSDTPERP, 5m",ticker:MKRUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:3834.3;timenow:2021-08-22T08:20:01Z,2021-08-22T08:20:01.000Z
260669264,"BINANCE:LITUSDTPERP, 5m",ticker:LITUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:5.195;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260667560,"BINANCE:MANAUSDTPERP, 5m",ticker:MANAUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.885;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260668633,"BINANCE:RVNUSDTPERP, 5m",ticker:RVNUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.1394;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260667220,"BINANCE:OCEANUSDTPERP, 5m",ticker:OCEANUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.98093;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260668191,"BINANCE:LINAUSDTPERP, 5m",ticker:LINAUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:0.06256;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260669028,"BINANCE:NKNUSDTPERP, 5m",ticker:NKNUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.42206;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.25098;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260667862,"BINANCE:1INCHUSDTPERP, 5m",ticker:1INCHUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:3.4225;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260668522,"BINANCE:KNCUSDTPERP, 5m",ticker:KNCUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:2.025;timenow:2021-08-22T08:20:00Z,2021-08-22T08:20:00.000Z
260668932,"BINANCE:MKRUSDTPERP, 5m",ticker:MKRUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:3870.8;timenow:2021-08-22T08:05:03Z,2021-08-22T08:05:03.000Z
260668160,"BINANCE:WAVESUSDTPERP, 5m",ticker:WAVESUSDTPERP;interval:5;buy:0;sell:1;buy_strong:0;sell_strong:0;close:26.032;timenow:2021-08-22T08:05:01Z,2021-08-22T08:05:01.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.2545;timenow:2021-08-22T08:00:11Z,2021-08-22T08:00:11.000Z
260666697,"BINANCE:MATICUSDTPERP, 5m",ticker:MATICUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:1.6264;timenow:2021-08-22T07:50:00Z,2021-08-22T07:50:00.000Z
260667494,"BINANCE:ALGOUSDTPERP, 5m",ticker:ALGOUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:1.1952;timenow:2021-08-22T07:45:01Z,2021-08-22T07:45:01.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:0;sell:0;buy_strong:0;sell_strong:1;close:0.25197;timenow:2021-08-22T07:35:00Z,2021-08-22T07:35:00.000Z
260667798,"BINANCE:SXPUSDTPERP, 5m",ticker:SXPUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:3.7165;timenow:2021-08-22T07:15:01Z,2021-08-22T07:15:01.000Z
260666763,"BINANCE:DOTUSDTPERP, 5m",ticker:DOTUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:28.008;timenow:2021-08-22T07:10:00Z,2021-08-22T07:10:00.000Z
260667271,"BINANCE:FTMUSDTPERP, 5m",ticker:FTMUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.58059;timenow:2021-08-22T07:10:00Z,2021-08-22T07:10:00.000Z
260669083,"BINANCE:ZENUSDTPERP, 5m",ticker:ZENUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:76.451;timenow:2021-08-22T07:00:00Z,2021-08-22T07:00:00.000Z
260667121,"BINANCE:TLMUSDTPERP, 5m",ticker:TLMUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.2947;timenow:2021-08-22T06:50:01Z,2021-08-22T06:50:01.000Z
260668949,"BINANCE:EGLDUSDTPERP, 5m",ticker:EGLDUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:149.69;timenow:2021-08-22T06:45:00Z,2021-08-22T06:45:00.000Z
260669109,"BINANCE:BLZUSDTPERP, 5m",ticker:BLZUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.25457;timenow:2021-08-22T06:40:02Z,2021-08-22T06:40:02.000Z
260667829,"BINANCE:QTUMUSDTPERP, 5m",ticker:QTUMUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:13.712;timenow:2021-08-22T06:40:01Z,2021-08-22T06:40:01.000Z
260668997,"BINANCE:KEEPUSDTPERP, 5m",ticker:KEEPUSDTPERP;interval:5;buy:0;sell:0;buy_strong:1;sell_strong:0;close:0.4232;timenow:2021-08-22T06:35:03Z,2021-08-22T06:35:03.000Z
260667584,"BINANCE:TRXUSDTPERP, 5m",ticker:TRXUSDTPERP;interval:5;buy:1;sell:0;buy_strong:0;sell_strong:0;close:0.08892;timenow:2021-08-22T06:35:01Z,2021-08-22T06:35:01.000Z
