Leverage,Ratio,Risk,Max Steps,Percent Of max range,Total Trades,Profit,Balance Min,Balance Max,Max Step,Actions
50,5,16,4,30,776,12483023.59283249,74.2221476324053,25599739.759500604,4,
75,3.5,31,5,40,1762,10309574.949343635,90.77487549561343,10543705.120128363,5,
50,4,25,5,30,964,7328077.659710349,96,9646245.973808553,5,
50,3,38,5,20,2376,4645778.27758616,79.20016913374768,4645878.277586161,5,
125,3,38,5,10,50108,2730628.665508017,84.72200571223556,2747141.087247308,5,
75,3,38,5,40,2074,2635448.3604543693,78.65126038656469,2635548.3604543693,5,
50,3,25,4,30,1362,2184392.2021171353,91.09757487639344,2184492.2021171353,4,
50,3,25,4,40,909,1755646.2974186908,88.69807599883212,1846475.7771916627,4,
50,3.5,21,4,40,737,1689984.3385886138,79.78287562330146,2322255.72545256,4,
50,5,16,4,40,529,1343578.1340746607,71.35005366334407,3483249.8101207884,4,
50,4,25,5,40,629,890247.168390081,68.3470886852745,936356.506246104,5,
50,3.5,31,5,30,1145,454875.8664342399,96.78,681128.0995686919,5,
50,5,21,5,40,515,297246.16600420745,78.86174303318901,430296.85727604775,5,
50,3,38,5,30,1341,267455.35542813374,94.3472852688705,296084.51047063945,5,
50,4,18,4,40,649,214461.54084768004,72.3955297806751,230276.83787093346,4,
50,4.5,17,4,40,612,170291.49889039228,72.0865136771666,342945.2837367515,4,
50,4.5,23,5,40,576,147381.0070977669,76.11910712926937,184402.40771809855,5,
50,3,38,5,40,880,132430.42632975444,80.18895604241129,161411.58829349632,5,
50,3.5,31,5,40,728,119983.9783572466,74.2462131446743,241858.98782308586,5,
